канал из 8;канал из 69;Частота (МГц)
1;1;433.075
2;2;433.100
;3;433.125
;4;433.150
;5;433.175
3;6;433.200
;7;433.225
;8;433.250
;9;433.275
4;10;433.300
;11;433.325
5;12;433.350
;13;433.375
;14;433.400
;15;433.425
;16;433.450
6;17;433.475
;18;433.500
;19;433.525
;20;433.550
;21;433.575
;22;433.600
7;23;433.625
;24;433.650
;25;433.675
;26;433.700
;27;433.725
;28;433.750
;29;433.775
8;30;433.800
;31;433.825
;32;433.850
;33;433.875
;34;433.900
;35;433.925
;36;433.950
;37;433.975
;38;434.000
;39;434.025
;40;434.050
;41;434.075
;42;434.100
;43;434.125
;44;434.150
;45;434.175
;46;434.200
;47;434.225
;48;434.250
;49;434.275
;50;434.300
;51;434.325
;52;434.350
;53;434.375
;54;434.400
;55;434.425
;56;434.450
;57;434.475
;58;434.500
;59;434.525
;60;434.550
;61;434.575
;62;434.600
;63;434.625
;64;434.650
;65;434.675
;66;434.700
;67;434.725
;68;434.750
;69;434.775
